method,seed,unit,name,metric,value
method2,1314,baseline,RF,macro_f1,0.7594336081750268
method2,1314,baseline,RF,weighted_f1,0.8491111205865957
method2,20,baseline,SVM,acc,0.6847826086956522
method2,20,baseline,SVM,macro_f1,0.632437319189971
method2,20,baseline,SVM,weighted_f1,0.7392876608947213
method2,100,baseline,SVM,acc,0.6521739130434783
method2,100,baseline,SVM,macro_f1,0.5922786076597328
method2,100,baseline,SVM,weighted_f1,0.7131586534667889
method2,123,baseline,SVM,acc,0.6086956521739131
method2,123,baseline,SVM,macro_f1,0.4732837528604119
method2,123,baseline,SVM,weighted_f1,0.6792906178489703
method2,701,baseline,SVM,acc,0.6630434782608695
method2,701,baseline,SVM,macro_f1,0.49148506860371266
method2,701,baseline,SVM,weighted_f1,0.7192792223742851
method2,1314,baseline,SVM,acc,0.6739130434782609
method2,1314,baseline,SVM,macro_f1,0.6978005358223145
method2,1314,baseline,SVM,weighted_f1,0.7303744744169268
method3,20,algorithm,DT,acc,0.8826086956521739
method3,100,algorithm,DT,acc,0.8586956521739131
method3,123,algorithm,DT,acc,0.8586956521739131
method3,701,algorithm,DT,acc,0.8391304347826086
method3,1314,algorithm,DT,acc,0.8804347826086957
method3,20,algorithm,KNN,acc,0.8521739130434782
method3,100,algorithm,KNN,acc,0.8630434782608695
method3,123,algorithm,KNN,acc,0.8630434782608696
method3,701,algorithm,KNN,acc,0.8413043478260869
method3,1314,algorithm,KNN,acc,0.8695652173913043
method3,20,algorithm,RF,acc,0.8869565217391303
method3,100,algorithm,RF,acc,0.8739130434782609
method3,123,algorithm,RF,acc,0.8695652173913044
method3,701,algorithm,RF,acc,0.8586956521739131
method3,1314,algorithm,RF,acc,0.8804347826086956
method3,20,algorithm,SVM,acc,0.8478260869565217
method3,100,algorithm,SVM,acc,0.8304347826086956
method3,123,algorithm,SVM,acc,0.858695652173913
method3,701,algorithm,SVM,acc,0.8695652173913043
method3,1314,algorithm,SVM,acc,0.8695652173913043
method3,20,baseline,DT,binary_f1,0.7209606691650892
method3,20,baseline,DT,weighted_f1_true,0.10737463126843658
method3,100,baseline,DT,binary_f1,0.6861953012912482
method3,100,baseline,DT,weighted_f1_true,0.08706038487060384
method3,123,baseline,DT,binary_f1,0.6268731268731269
method3,123,baseline,DT,weighted_f1_true,0.12143388737286032
method3,701,baseline,DT,binary_f1,0.6510938220847241
method3,701,baseline,DT,weighted_f1_true,0.08960483262018626
method3,1314,baseline,DT,binary_f1,0.7931888198956056
method3,1314,baseline,DT,weighted_f1_true,0.12294887039239001
method3,20,baseline,KNN,binary_f1,0.6565583405480359
method3,20,baseline,KNN,weighted_f1_true,0.00440771349862259
method3,100,baseline,KNN,binary_f1,0.6778038477005227
method3,100,baseline,KNN,weighted_f1_true,0.0004990953896063386
method3,123,baseline,KNN,binary_f1,0.6816735706821914
method3,123,baseline,KNN,weighted_f1_true,0.0010974271430313376
method3,701,baseline,KNN,binary_f1,0.6679474291311436
method3,701,baseline,KNN,weighted_f1_true,0.026115166261151665
method3,1314,baseline,KNN,binary_f1,0.6788729563119806
method3,1314,baseline,KNN,weighted_f1_true,0.00047155909224874746
method3,20,baseline,RF,binary_f1,0.7233540649461366
method3,20,baseline,RF,weighted_f1_true,0.029891879457096843
method3,100,baseline,RF,binary_f1,0.6738437001594896
method3,100,baseline,RF,weighted_f1_true,0.029961765728189083
method3,123,baseline,RF,binary_f1,0.6529620955850465
method3,123,baseline,RF,weighted_f1_true,0.003699897225077081
method3,701,baseline,RF,binary_f1,0.6740309747087241
method3,701,baseline,RF,weighted_f1_true,0.046013649948908594
method3,1314,baseline,RF,binary_f1,0.8120625659892675
method3,1314,baseline,RF,weighted_f1_true,0.01518047993547086
method3,20,baseline,SVM,binary_f1,0.6515773298381994
method3,20,baseline,SVM,weighted_f1_true,0.5955411722402014
method3,100,baseline,SVM,binary_f1,0.6120058102816723
method3,100,baseline,SVM,weighted_f1_true,0.49827707584571496
method3,123,baseline,SVM,binary_f1,0.6401900303075656
method3,123,baseline,SVM,weighted_f1_true,0.5586824657920723
method3,701,baseline,SVM,binary_f1,0.6984572072072072
method3,701,baseline,SVM,weighted_f1_true,0.5668384141977959
method3,1314,baseline,SVM,binary_f1,0.6328584235128386
method3,1314,baseline,SVM,weighted_f1_true,0.5831380960237584
